Transaction Date,Post Date,Description,Category,Type,Amount,Memo
07/31/2025,07/31/2025,Payment Thank You-Mobile,,Payment,2815.30,
07/29/2025,07/31/2025,THE HOME DEPOT #1502,Home,Sale,-21.57,
07/29/2025,07/31/2025,THE HOME DEPOT #1502,Home,Sale,-62.47,
07/29/2025,07/29/2025,STATEMENT CREDIT,Fees & Adjustments,Adjustment,218.16,
07/28/2025,07/29/2025,KING SOOPERS #0020,Groceries,Sale,-45.50,
07/28/2025,07/29/2025,KING SOOPERS #0620 FUEL,Gas,Sale,-37.76,
07/27/2025,07/28/2025,SQ *TRUE BLUE COFFEE &amp; GE,Food & Drink,Sale,-11.85,
07/25/2025,07/28/2025,SNARFS 50,Food & Drink,Sale,-15.55,
07/26/2025,07/28/2025,PY *SUNDAE - VAIL,Food & Drink,Sale,-21.45,
07/25/2025,07/27/2025,STATE FARM  INSURANCE,Bills & Utilities,Sale,-253.02,
07/24/2025,07/27/2025,10279 CAVA ARVADA,Food & Drink,Sale,-12.47,
07/26/2025,07/27/2025,Town Of Vail-Parking,Travel,Sale,-4.00,
07/26/2025,07/27/2025,SQ *ROBERT KNUCKLES  DBA,Shopping,Sale,-120.88,
07/25/2025,07/27/2025,COMCAST CAFE,Food & Drink,Sale,-9.96,
07/25/2025,07/27/2025,TST*CURRY KITCHEN,Food & Drink,Sale,-99.92,
07/23/2025,07/25/2025,U-HAUL CENTER OF ENGLEWOO,Automotive,Sale,-279.35,
07/23/2025,07/25/2025,ARMK COORS FIELD GENER,Food & Drink,Sale,-11.24,
07/23/2025,07/25/2025,THE HOME DEPOT #1502,Home,Sale,-13.69,
07/23/2025,07/24/2025,JERSEY MIKES 22044,Food & Drink,Sale,-20.48,
07/23/2025,07/24/2025,STATE FARM  INSURANCE,Bills & Utilities,Sale,-223.12,
07/23/2025,07/24/2025,PAYPAL *BESTBUY COM,Shopping,Sale,-52.52,
07/22/2025,07/24/2025,COMCAST CAFE,Food & Drink,Sale,-8.50,
07/23/2025,07/24/2025,PAYPAL *CUCU COVERS,Shopping,Sale,-5.00,
07/22/2025,07/24/2025,PANERA BREAD #202430 K,Food & Drink,Sale,-16.01,
07/22/2025,07/24/2025,RAISING CANES 0537,Food & Drink,Sale,-16.83,
07/21/2025,07/23/2025,COMCAST CAFE,Food & Drink,Sale,-7.82,
07/21/2025,07/23/2025,THE HOME DEPOT #1502,Home,Sale,-16.69,
07/21/2025,07/22/2025,CHIPOTLE 1039,Food & Drink,Sale,-11.98,
07/19/2025,07/21/2025,THE HOME DEPOT #1522,Home,Sale,-14.47,
07/19/2025,07/21/2025,TARGET        00015008,Groceries,Sale,-13.62,
07/20/2025,07/21/2025,GOOGLE *YouTube Videos,Bills & Utilities,Sale,-4.29,
07/16/2025,07/20/2025,SMASHBURGER-1761,Food & Drink,Sale,-14.49,
07/19/2025,07/20/2025,SQ *FORTE FRUITS INC,Groceries,Sale,-15.60,
07/19/2025,07/20/2025,KING SOOPERS #0682 FUEL Q,Gas,Sale,-33.80,
07/17/2025,07/20/2025,IN-N-OUT LAKEWOOD,Food & Drink,Sale,-4.30,
07/19/2025,07/20/2025,KING SOOPERS #0082,Groceries,Sale,-133.88,
07/18/2025,07/18/2025,CINEMARK 478 RSTBAR,Food & Drink,Sale,-15.28,
07/17/2025,07/18/2025,10279 CAVA ARVADA,Food & Drink,Sale,-33.25,
07/18/2025,07/18/2025,CINEMARK 478 ONLINE,Entertainment,Sale,-22.46,
07/15/2025,07/17/2025,THE HOME DEPOT #1522,Home,Sale,-45.00,
07/16/2025,07/17/2025,COMCAST CAFE,Food & Drink,Sale,-7.87,
07/14/2025,07/16/2025,10279 CAVA ARVADA,Food & Drink,Sale,-12.47,
07/14/2025,07/15/2025,COMCAST CAFE,Food & Drink,Sale,-7.82,
07/13/2025,07/15/2025,RUNZA CHADRON,Food & Drink,Sale,-6.12,
07/13/2025,07/15/2025,RUNZA CHADRON,Food & Drink,Sale,-22.88,
07/12/2025,07/15/2025,RUNZA CHADRON,Food & Drink,Sale,-23.41,
07/15/2025,07/15/2025,CHECKR PERSO BY CHECKR,Shopping,Sale,-49.99,
07/13/2025,07/15/2025,BADLANDS NATURAL HISTORY,Entertainment,Sale,-15.80,
07/13/2025,07/15/2025,ESSENTIAL FUELS,Gas,Sale,-4.88,
07/14/2025,07/15/2025,THE GIFT CARD SHOP,Shopping,Sale,-50.00,
07/13/2025,07/14/2025,LOVE'S #0220 INSIDE,Gas,Sale,-3.19,
07/11/2025,07/14/2025,GRAND VALLEY AUTO SALES L,Bills & Utilities,Sale,-99.35,
07/13/2025,07/14/2025,LOVE'S #0220 INSIDE,Gas,Sale,-8.35,
07/12/2025,07/14/2025,AMK BADLANDS LODGE REST,Food & Drink,Sale,-11.96,
07/12/2025,07/13/2025,WALL DRUG STORE,Health & Wellness,Sale,-19.42,
07/10/2025,07/13/2025,THE HOME DEPOT #1502,Home,Sale,-13.08,
07/10/2025,07/13/2025,TST*MOTOMAKI - LAKEWOOD,Food & Drink,Sale,-18.73,
07/11/2025,07/13/2025,CHICK-FIL-A #02636,Food & Drink,Sale,-21.55,
07/12/2025,07/13/2025,LOVE'S #0220 INSIDE,Gas,Sale,-5.98,
07/12/2025,07/13/2025,BADLANDS NATIONAL PARK,Bills & Utilities,Sale,-30.00,
07/10/2025,07/13/2025,SOUTHWES    5262365356620,Travel,Sale,-11.20,
07/10/2025,07/13/2025,TST*MOTOMAKI - LAKEWOOD,Food & Drink,Sale,-21.97,
07/10/2025,07/13/2025,GRAND VALLEY AUTO SALES L,Bills & Utilities,Sale,-93.73,
07/10/2025,07/11/2025,JERSEY MIKES 22044,Food & Drink,Sale,-11.51,
07/10/2025,07/11/2025,your-saving.com,Professional Services,Sale,-115.42,
07/10/2025,07/11/2025,COMCAST CAFE,Food & Drink,Sale,-7.82,
07/09/2025,07/11/2025,THE HOME DEPOT #1502,Home,Sale,-53.33,
07/09/2025,07/10/2025,XFINITY MOBILE,Bills & Utilities,Sale,-37.70,
07/09/2025,07/10/2025,CHIPOTLE 1039,Food & Drink,Sale,-14.03,
07/08/2025,07/10/2025,TST*KONA HAWAIIAN BBQ AR,Food & Drink,Sale,-15.21,
07/08/2025,07/10/2025,THE HOME DEPOT #1502,Home,Sale,-13.69,
07/09/2025,07/10/2025,COMCAST CAFE,Food & Drink,Sale,-7.82,
07/08/2025,07/09/2025,THE LITTLE CLINIC,Health & Wellness,Sale,-21.00,
07/08/2025,07/09/2025,Etsy.com*GiftShopByKOR,Shopping,Sale,-55.06,
07/08/2025,07/09/2025,CARENT LABORATORY SOLUTI,Health & Wellness,Sale,-12.46,
07/08/2025,07/09/2025,TST*LAUNCH COLORADO,Food & Drink,Sale,-1.99,
07/07/2025,07/08/2025,Everbowl COArvada,Food & Drink,Sale,-9.78,
07/05/2025,07/07/2025,MAMMOTH,Shopping,Sale,-35.46,
07/05/2025,07/06/2025,PAYPAL *SPEKS,Shopping,Sale,-23.22,
07/04/2025,07/06/2025,NORTH GET N GO,Gas,Sale,-7.51,
07/03/2025,07/06/2025,PY *KUNG FU TEA ARVADA,Food & Drink,Sale,-5.72,
07/04/2025,07/06/2025,CONOCO - TA RAWLINS,Gas,Sale,-2.29,
07/05/2025,07/06/2025,SQ *YELLOWSTONE FOREVER,Entertainment,Sale,-60.30,
07/02/2025,07/04/2025,STARBUCKS STORE 05399,Food & Drink,Sale,-5.88,
07/02/2025,07/03/2025,JERSEY MIKES 22044,Food & Drink,Sale,-24.15,
07/01/2025,07/03/2025,COMCAST CAFE,Food & Drink,Sale,-7.82,
06/30/2025,07/02/2025,CHICK-FIL-A #03120,Food & Drink,Sale,-86.19,
07/01/2025,07/01/2025,BIBLE-PROJ* MONTHLY,Gifts & Donations,Sale,-100.00,
06/29/2025,07/01/2025,ROSIE'S DINER,Food & Drink,Sale,-50.80,
